timestamp,cpu_pct,mem_used_gb,mem_total_gb,temp_c
2026-06-26T11:10:28,6.00,0.61,0.88,51.00
2026-06-26T11:10:29,3.00,0.61,0.88,51.00
2026-06-26T11:10:30,15.00,0.61,0.88,51.00
2026-06-26T11:10:31,7.00,0.61,0.88,50.00
2026-06-26T11:10:32,1.00,0.61,0.88,50.00
2026-06-26T11:10:33,1.00,0.61,0.88,49.00
2026-06-26T11:10:34,1.00,0.61,0.88,50.00
2026-06-26T11:10:35,13.00,0.61,0.88,50.00
2026-06-26T11:10:36,4.00,0.61,0.88,50.00
2026-06-26T11:10:37,4.00,0.61,0.88,49.00
2026-06-26T11:10:38,0.00,0.61,0.88,49.00
2026-06-26T11:10:39,1.00,0.61,0.88,49.00
2026-06-26T11:10:40,14.00,0.60,0.88,51.00
2026-06-26T11:10:41,6.00,0.60,0.88,50.00
2026-06-26T11:10:42,2.00,0.60,0.88,49.00
2026-06-26T11:10:43,1.00,0.60,0.88,50.00
2026-06-26T11:10:44,0.00,0.60,0.88,49.00
2026-06-26T11:10:45,6.00,0.61,0.88,50.00
2026-06-26T11:10:46,12.00,0.61,0.88,49.00
2026-06-26T11:10:47,2.00,0.61,0.88,49.00
2026-06-26T11:10:48,11.00,0.61,0.88,50.00
2026-06-26T11:10:49,1.00,0.61,0.88,49.00
2026-06-26T11:10:50,1.00,0.60,0.88,50.00
2026-06-26T11:10:51,17.00,0.61,0.88,50.00
2026-06-26T11:10:52,8.00,0.61,0.88,50.00
2026-06-26T11:10:53,11.00,0.61,0.88,50.00
2026-06-26T11:10:54,3.00,0.61,0.88,49.00
2026-06-26T11:15:07,6.67,0.61,0.88,50.00
2026-06-26T11:15:08,5.30,0.61,0.88,50.00
2026-06-26T11:15:09,17.14,0.61,0.88,50.00
2026-06-26T11:15:10,3.78,0.61,0.88,49.00
2026-06-26T11:15:11,7.07,0.61,0.88,49.00
2026-06-26T11:15:12,3.03,0.61,0.88,50.00
2026-06-26T11:15:13,5.30,0.61,0.88,50.00
2026-06-26T11:15:14,12.24,0.61,0.88,51.00
2026-06-26T11:15:15,3.02,0.61,0.88,50.00
2026-06-26T11:15:16,6.30,0.61,0.88,50.00
2026-06-26T11:15:17,3.05,0.60,0.88,50.00
2026-06-26T11:15:18,2.03,0.60,0.88,49.00
2026-06-26T11:15:19,12.44,0.60,0.88,50.00
2026-06-26T11:15:20,2.04,0.60,0.88,49.00
2026-06-26T11:15:21,6.55,0.60,0.88,49.00
2026-06-26T11:15:22,2.29,0.60,0.88,49.00
2026-06-26T11:15:23,2.03,0.60,0.88,49.00
2026-06-26T11:15:24,7.36,0.60,0.88,50.00
2026-06-26T11:15:25,9.14,0.60,0.88,49.00
2026-06-26T11:15:26,6.06,0.60,0.88,50.00
2026-06-26T11:15:27,3.29,0.60,0.88,50.00
2026-06-26T11:15:28,17.34,0.60,0.88,50.00
2026-06-26T11:15:29,6.58,0.60,0.88,49.00
2026-06-26T11:15:30,12.05,0.61,0.88,50.00
2026-06-26T11:15:31,8.95,0.60,0.88,50.00
2026-06-26T11:15:32,4.04,0.60,0.88,49.00
2026-06-26T11:15:33,1.28,0.60,0.88,49.00
2026-06-26T11:15:34,3.27,0.60,0.88,49.00
2026-06-26T11:15:35,12.05,0.61,0.88,50.00
2026-06-26T11:15:36,6.57,0.61,0.88,49.00
2026-06-26T11:15:37,4.55,0.61,0.88,49.00
2026-06-26T11:15:38,3.57,0.61,0.88,49.00
2026-06-26T11:15:39,4.06,0.60,0.88,49.00
2026-06-26T11:15:40,13.49,0.60,0.88,50.00
2026-06-26T11:15:41,7.87,0.61,0.88,49.00
2026-06-26T11:15:42,2.79,0.61,0.88,49.00
2026-06-26T11:15:43,1.52,0.60,0.88,49.00
2026-06-26T11:15:44,3.02,0.60,0.88,49.00
2026-06-26T11:15:45,3.57,0.60,0.88,49.00
